ORDER_NUMBER,QUANTITY_ORDERED,PRICE EACH,SALES,ORDER_DATE,STATUS,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMER_NAME,PHONE,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,POSTALCODE
"10,134",27,100,3307.77,7/1/2003 0:00,Shipped,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,75508
"10,145",37,100,5192.95,8/25/2003 0:00,Shipped,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,90003
"10,159",37,100,5016.83,10/10/2003 0:00,Shipped,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Medium,
"10,168",27,100,3660.93,10/28/2003 0:00,Shipped,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,94217
"10,180",42,100,4695.6,11/11/2003 0:00,Shipped,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,59000
"10,188",38,96.34,3660.92,11/18/2003 0:00,Shipped,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,N 5804
"10,201",24,100,3025.92,12/1/2003 0:00,Shipped,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,USA,Murphy,Julie,Medium,
"10,210",23,100,3009.09,1/12/2004 0:00,Shipped,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium,530-0003
"10,223",47,100,5422.39,2/20/2004 0:00,Shipped,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,3004
"10,236",22,100,2852.08,4/3/2004 0:00,Shipped,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,71270
"10,251",44,100,5756.52,5/18/2004 0:00,Shipped,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,USA,Brown,William,Medium,94019
"10,263",40,100,4472,6/28/2004 0:00,Shipped,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium,97562
"10,275",22,100,2904.44,7/23/2004 0:00,Shipped,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,44000
"10,285",47,100,6484.59,8/27/2004 0:00,Shipped,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,51247
"10,298",39,96.34,3757.26,9/27/2004 0:00,Shipped,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,France,Schmitt,Carine,Medium,44000
"10,308",34,100,4043.96,10/15/2004 0:00,Shipped,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,24067
"10,318",45,100,5566.5,11/2/2004 0:00,Shipped,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium,70267
"10,329",20,100,3176,11/15/2004 0:00,Shipped,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,339",40,68.92,2756.8,11/23/2004 0:00,Shipped,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,106-0032
"10,361",26,51.15,1329.9,12/17/2004 0:00,Shipped,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,2067
"10,374",39,100,5288.01,2/2/2005 0:00,Shipped,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Medium,4101
"10,388",50,44.51,2225.5,3/3/2005 0:00,Shipped,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,50553
"10,402",45,100,5833.8,4/7/2005 0:00,Shipped,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,75016
"10,417",45,100,5887.35,5/13/2005 0:00,Disputed,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,28034
"10,107",27,100,6065.55,2/24/2003 0:00,Shipped,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,120",46,100,9264.86,4/29/2003 0:00,Shipped,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Large,3004
"10,134",31,100,7023.98,7/1/2003 0:00,Shipped,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Large,75508
"10,145",33,100,5176.38,8/25/2003 0:00,Shipped,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,90003
"10,159",22,100,4132.7,10/10/2003 0:00,Shipped,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,USA,Brown,Julie,Medium,
"10,168",20,100,4183,10/28/2003 0:00,Shipped,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,94217
"10,180",41,100,8892.9,11/11/2003 0:00,Shipped,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Large,59000
"10,188",45,100,8714.7,11/18/2003 0:00,Shipped,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Large,N 5804
"10,201",49,100,8065.89,12/1/2003 0:00,Shipped,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,USA,Murphy,Julie,Large,
"10,210",34,100,6123.4,1/12/2004 0:00,Shipped,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium,530-0003
"10,223",49,100,9774.03,2/20/2004 0:00,Shipped,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Large,3004
"10,237",39,100,7023.9,4/5/2004 0:00,Shipped,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,USA,Frick,Michael,Large,10022
"10,251",43,100,7078.23,5/18/2004 0:00,Shipped,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,USA,Brown,William,Large,94019
"10,263",41,100,8336.94,6/28/2004 0:00,Shipped,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Large,97562
"10,275",36,100,6901.92,7/23/2004 0:00,Shipped,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,44000
"10,285",27,100,5438.07,8/27/2004 0:00,Shipped,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,51247
"10,299",29,100,6683.34,9/30/2004 0:00,Shipped,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,21240
"10,308",20,100,4570.4,10/15/2004 0:00,Shipped,10,2004,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,24067
"10,318",37,100,7667.14,11/2/2004 0:00,Shipped,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,USA,Yu,Kyung,Large,70267
"10,329",26,100,5868.2,11/15/2004 0:00,Shipped,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,10022
"10,339",39,76.67,2990.13,11/23/2004 0:00,Shipped,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,106-0032
"10,362",22,100,3664.1,1/5/2005 0:00,Shipped,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,94217
"10,374",22,100,3834.38,2/2/2005 0:00,Shipped,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Medium,4101
"10,388",21,86.77,1822.17,3/3/2005 0:00,Shipped,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,50553
"10,403",66,100,11886.6,4/8/2005 0:00,Shipped,4,2005,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Large,WX1 6LT
"10,417",56,100,9218.16,5/13/2005 0:00,Disputed,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,28034
"10,105",50,100,7208,2/11/2003 0:00,Shipped,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Large,1734
"10,119",46,100,5004.8,4/28/2003 0:00,Shipped,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,5020
"10,129",33,100,4398.24,6/12/2003 0:00,Shipped,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,UK,Brown,Ann,Medium,WX3 6FW
"10,143",49,100,5597.76,8/10/2003 0:00,Shipped,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,50553
"10,155",32,100,4526.08,10/6/2003 0:00,Shipped,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,21240
"10,167",44,100,5924.16,10/23/2003 0:00,Cancelled,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,S-844 67
"10,178",24,100,3492.48,11/8/2003 0:00,Shipped,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Medium,31000
"10,186",26,100,3854.24,11/14/2003 0:00,Shipped,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,UK,Hardy,Thomas,Medium,WA1 1DP
"10,197",45,100,5324.4,11/26/2003 0:00,Shipped,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,8022
"10,209",39,100,5197.92,1/9/2004 0:00,Shipped,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,USA,Chandler,Michael,Medium,
"10,222",49,100,5997.6,2/19/2004 0:00,Shipped,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,91217
"10,248",20,100,2910.4,5/7/2004 0:00,Cancelled,5,2004,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,10022
"10,261",27,100,3378.24,6/17/2004 0:00,Shipped,6,2004,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium,H1J 1C3
"10,273",30,100,3508.8,7/21/2004 0:00,Shipped,7,2004,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium,B-1180
"10,283",25,100,2992,8/20/2004 0:00,Shipped,8,2004,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,T2F 8M4
"10,295",24,100,3427.2,9/10/2004 0:00,Shipped,9,2004,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,51003
"10,307",22,100,2692.8,10/14/2004 0:00,Shipped,10,2004,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,USA,Cervantes,Francisca,Small,71270
"10,316",33,100,4128.96,11/1/2004 0:00,Shipped,11,2004,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Medium,PO31 7PJ
"10,325",47,64.93,3051.71,11/5/2004 0:00,Shipped,11,2004,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,4110
"10,337",25,48.05,1201.25,11/21/2004 0:00,Shipped,11,2004,Classic Cars,136,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small,10022
"10,350",26,75.47,1962.22,12/2/2004 0:00,Shipped,12,2004,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,28034
